date,ref_name,ref,commit_sha,label,time,rss,vms
2023-07-07T15-01-27,main,refs/heads/main,c0528618df8d04e3667dcb85568a075632e50fa6,CKF Tracking,11.745435,611979264,781185024
2023-07-07T15-01-27,main,refs/heads/main,c0528618df8d04e3667dcb85568a075632e50fa6,Simulation,6.57165,573837312,818012160
2023-07-07T15-01-27,main,refs/heads/main,c0528618df8d04e3667dcb85568a075632e50fa6,Truth Tracking GSF,24.840702,517111808,717189120
2023-07-07T15-01-27,main,refs/heads/main,c0528618df8d04e3667dcb85568a075632e50fa6,Truth Tracking KF,13.933195,573927424,763846656
2023-07-07T15-01-27,main,refs/heads/main,c0528618df8d04e3667dcb85568a075632e50fa6,Vertexing,12.231996,753188864,1001123840
2023-07-07T16-46-40,main,refs/heads/main,cc53d9a471f69dfb128e5ea8aba647f165303fe4,CKF Tracking,28.843496,614584320,792870912
2023-07-07T16-46-40,main,refs/heads/main,cc53d9a471f69dfb128e5ea8aba647f165303fe4,Simulation,6.444459,585670656,816599040
2023-07-07T16-46-40,main,refs/heads/main,cc53d9a471f69dfb128e5ea8aba647f165303fe4,Truth Tracking GSF,23.868152,496021504,696696832
2023-07-07T16-46-40,main,refs/heads/main,cc53d9a471f69dfb128e5ea8aba647f165303fe4,Truth Tracking KF,1.814617,444596224,611663872
2023-07-07T16-46-40,main,refs/heads/main,cc53d9a471f69dfb128e5ea8aba647f165303fe4,Vertexing,1.813555,446062592,612917248
2023-07-07T17-16-33,main,refs/heads/main,e022486cb92cca679f5ffe9bff3ef0e2f27961f1,CKF Tracking,18.256563,608215040,792350720
2023-07-07T17-16-33,main,refs/heads/main,e022486cb92cca679f5ffe9bff3ef0e2f27961f1,Simulation,72.820566,997257216,1158447104
2023-07-07T17-16-33,main,refs/heads/main,e022486cb92cca679f5ffe9bff3ef0e2f27961f1,Truth Tracking GSF,24.777471,517009408,717533184
2023-07-07T17-16-33,main,refs/heads/main,e022486cb92cca679f5ffe9bff3ef0e2f27961f1,Truth Tracking KF,0.101099,21905408,151949312
2023-07-07T17-16-33,main,refs/heads/main,e022486cb92cca679f5ffe9bff3ef0e2f27961f1,Vertexing,0.50484,251244544,404279296
2023-07-07T22-03-56,main,refs/heads/main,689d82a5baed1305528e3fc1b2b5f51c77c3312a,CKF Tracking,9.424114,594849792,773292032
2023-07-07T22-03-56,main,refs/heads/main,689d82a5baed1305528e3fc1b2b5f51c77c3312a,Simulation,9.5934,592011264,878112768
2023-07-07T22-03-56,main,refs/heads/main,689d82a5baed1305528e3fc1b2b5f51c77c3312a,Truth Tracking GSF,26.235907,515133440,717529088
2023-07-07T22-03-56,main,refs/heads/main,689d82a5baed1305528e3fc1b2b5f51c77c3312a,Truth Tracking KF,0.000295,4096,6615040
2023-07-07T22-03-56,main,refs/heads/main,689d82a5baed1305528e3fc1b2b5f51c77c3312a,Vertexing,3.032581,512262144,711282688
2023-07-08T03-03-06,main,refs/heads/main,53603e7ce37417f88be4233c216d92f4e89ef943,CKF Tracking,24.607764,608681984,787374080
2023-07-08T03-03-06,main,refs/heads/main,53603e7ce37417f88be4233c216d92f4e89ef943,Simulation,9.399225,574468096,877948928
2023-07-08T03-03-06,main,refs/heads/main,53603e7ce37417f88be4233c216d92f4e89ef943,Truth Tracking GSF,30.015255,516415488,717508608
2023-07-08T03-03-06,main,refs/heads/main,53603e7ce37417f88be4233c216d92f4e89ef943,Truth Tracking KF,0.000437,4096,6615040
2023-07-08T03-03-06,main,refs/heads/main,53603e7ce37417f88be4233c216d92f4e89ef943,Vertexing,2.526494,446615552,619245568
2023-07-08T04-34-17,main,refs/heads/main,5b1de63569dceee3d4b0b9f23876aacbf50a1d98,CKF Tracking,9.704842,595116032,787554304
2023-07-08T04-34-17,main,refs/heads/main,5b1de63569dceee3d4b0b9f23876aacbf50a1d98,Simulation,3.136241,550535168,875679744
2023-07-08T04-34-17,main,refs/heads/main,5b1de63569dceee3d4b0b9f23876aacbf50a1d98,Truth Tracking GSF,26.565609,518217728,717520896
2023-07-08T04-34-17,main,refs/heads/main,5b1de63569dceee3d4b0b9f23876aacbf50a1d98,Truth Tracking KF,0.000298,4096,6615040
2023-07-08T04-34-17,main,refs/heads/main,5b1de63569dceee3d4b0b9f23876aacbf50a1d98,Vertexing,2.020266,445964288,616046592
2023-07-08T08-35-00,main,refs/heads/main,d0ad6649633c605cdf5e2312259303a869dd644f,CKF Tracking,14.84858,610148352,786509824
2023-07-08T08-35-00,main,refs/heads/main,d0ad6649633c605cdf5e2312259303a869dd644f,Simulation,7.468726,593076224,877969408
2023-07-08T08-35-00,main,refs/heads/main,d0ad6649633c605cdf5e2312259303a869dd644f,Truth Tracking GSF,25.1941,517279744,717533184
2023-07-08T08-35-00,main,refs/heads/main,d0ad6649633c605cdf5e2312259303a869dd644f,Truth Tracking KF,2.017598,444612608,611667968
2023-07-08T08-35-00,main,refs/heads/main,d0ad6649633c605cdf5e2312259303a869dd644f,Vertexing,1.715465,444121088,611872768
2023-07-11T12-11-40,main,refs/heads/main,679e7a367f91ce3350abb34310ecd7c5a25d7488,CKF Tracking,58.035234,615731200,792428544
2023-07-11T12-11-40,main,refs/heads/main,679e7a367f91ce3350abb34310ecd7c5a25d7488,Simulation,6.241979,584298496,875696128
2023-07-11T12-11-40,main,refs/heads/main,679e7a367f91ce3350abb34310ecd7c5a25d7488,Truth Tracking GSF,23.759265,520241152,717533184
